x_nm,y_nm,z_nm,V
-195.959595959596,-167.676767676768,35,-0.539273234724856
-195.959595959596,-163.636363636364,35,-0.526268032678989
-195.959595959596,-159.59595959596,35,-0.513363036366788
-195.959595959596,-155.555555555556,35,-0.500565023276869
-195.959595959596,-151.515151515152,35,-0.48787399340923
-195.959595959596,-147.474747474747,35,-0.475289946763872
-195.959595959596,-143.434343434343,35,-0.462754363470632
-195.959595959596,-139.393939393939,35,-0.450187291375401
-195.959595959596,-135.353535353535,35,-0.437613877966651
-195.959595959596,-131.313131313131,35,-0.425034123244381
-195.959595959596,-127.272727272727,35,-0.411459751825223
-195.959595959596,-123.232323232323,35,-0.398223908948507
-195.959595959596,-119.191919191919,35,-0.385680534749976
-195.959595959596,-115.151515151515,35,-0.373829629229629
-195.959595959596,-111.111111111111,35,-0.362671192387467
-195.959595959596,-107.070707070707,35,-0.352303887281582
-195.959595959596,-103.030303030303,35,-0.342722885004242
-195.959595959596,-98.989898989899,35,-0.333864110948226
-195.959595959596,-94.949494949495,35,-0.326031619820728
-195.959595959596,-90.9090909090909,35,-0.319408382567202
-195.959595959596,-86.8686868686869,35,-0.313292342882178
-195.959595959596,-82.8282828282828,35,-0.307683500765657
-195.959595959596,-78.7878787878788,35,-0.302581856217638
-195.959595959596,-74.7474747474747,35,-0.297987409238121
-195.959595959596,-70.7070707070707,35,-0.29378440143269
-195.959595959596,-66.6666666666667,35,-0.290205507275222
-195.959595959596,-62.6262626262626,35,-0.287256552794783
-195.959595959596,-58.5858585858586,35,-0.285203521285716
-195.959595959596,-54.5454545454546,35,-0.283457562163732
-195.959595959596,-50.5050505050505,35,-0.281844601743749
-195.959595959596,-46.4646464646465,35,-0.280364640025767
-195.959595959596,-42.4242424242424,35,-0.279017677009786
-195.959595959596,-38.3838383838384,35,-0.27777447914863
-195.959595959596,-34.3434343434343,35,-0.276701829046913
-195.959595959596,-30.3030303030303,35,-0.275893140390752
-195.959595959596,-26.2626262626263,35,-0.275355990199407
-195.959595959596,-22.2222222222222,35,-0.27502545339936
-195.959595959596,-18.1818181818182,35,-0.274749048009287
