nu,E_xc_meV
0.04500000000000015,0.6811726217514491
0.050000000000000044,0.7987499361437512
0.05500000000000016,0.8938627580655691
0.06000000000000005,1.011571443758867
0.06500000000000017,1.117325341061445
0.07000000000000006,1.227283119995919
0.07500000000000018,1.3156960055668958
0.08000000000000007,1.4219753880734496
0.08499999999999996,1.5140666700723364
0.09000000000000008,1.59906390181739
0.09499999999999997,1.6941767237392034
0.10000000000000009,1.7892895456610258
0.10499999999999998,1.8712652374831473
0.1100000000000001,1.9663780594049614
0.11499999999999999,2.0483537512270793
0.1200000000000001,2.1303294430492
0.125,2.222157982446091
0.13000000000000012,2.3058415011811753
0.135,2.3762565185155604
0.14000000000000012,2.4582322103376755
0.14500000000000002,2.5206335783112466
0.15000000000000013,2.6090464638822164
0.15500000000000003,2.677885025604635
0.16000000000000014,2.760911687834735
0.16500000000000004,2.835793329403012
0.17000000000000015,2.9096240005633205
0.17500000000000004,2.9834546717236266
0.18000000000000016,3.0572853428839313
0.18500000000000005,3.1303277862382552
0.19000000000000017,3.1991663479606824
0.19500000000000006,3.2602540029242744
0.20000000000000018,3.3394708974254588
0.20500000000000007,3.4029232358070005
0.20999999999999996,3.4742578522483636
0.21500000000000008,3.5346886507069817
0.21999999999999997,3.595382191767586
0.2250000000000001,3.6692128629278917
0.22999999999999998,3.7333220578144224
0.2350000000000001,3.790599945049105
0.24,3.84971703049775
0.2450000000000001,3.9119870271703245
0.25,3.9858176983306297
0.2550000000000001,4.033374109291539
0.26,4.0940676503521445
0.2650000000000001,4.153841592305772
0.27,4.2120390786474395
0.27500000000000013,4.26301114343427
0.28,4.31529692123107
0.28500000000000014,4.3734944075727356
0.29000000000000004,4.431954636516395
0.29500000000000015,4.4898893802560655
0.30000000000000004,4.54808686659773
0.30500000000000016,4.600898129598517
0.31000000000000005,4.648454540559424
0.31500000000000017,4.696405065423328
0.32000000000000006,4.756704492580944
0.3250000000000002,4.8173980336415525
0.33000000000000007,4.8649544446024615
0.3350000000000002,4.938785115762767
0.3400000000000001,4.999478656823372
0.345,5.04703506778428
0.3500000000000001,5.103787469814977
0.355,5.161984956156644
0.3600000000000001,5.224386324130215
0.365,5.289809232026711
0.3700000000000001,5.349714545281339
0.375,5.398059184048228
0.3800000000000001,5.458752725108835
0.385,5.506309136069744
0.3900000000000001,5.553865547030652
0.395,5.614427716790263
0.40000000000000013,5.664742925072111
0.405,5.717685559373895
0.41000000000000014,5.770365451073686
0.41500000000000004,5.817921862034595
0.42000000000000015,5.865478272995502
0.42500000000000004,5.901868123371668
0.43000000000000016,5.947453964817626
0.43500000000000005,6.001973054731373
0.44000000000000017,6.042566786739442
0.44500000000000006,6.090123197700351
0.4500000000000002,6.137679608661259
0.45500000000000007,6.185236019622168
0.4600000000000002,6.232792430583077
0.4650000000000001,6.2803488415439865
0.47,6.316607320619153
0.4750000000000001,6.3754616634658055
0.48,6.396743814227314
0.4850000000000001,6.444300225188225
0.49,6.491856636149131
0.4950000000000001,6.539413047110041
0.5,6.586969458070952
0.5050000000000001,6.6345258690318625
0.51,6.682082279992768
0.5150000000000001,6.729638690953679
0.52,6.7640579718148865
0.5250000000000001,6.8240946563705105
0.53,6.8478728618509646
0.5350000000000001,6.893590074597914
0.54,6.941146485558825
0.5450000000000002,6.988702896519737
0.55,7.036259307480642
0.5550000000000002,7.083815718441553
0.56,7.13137212940246
0.5650000000000002,7.178928540363368
0.5700000000000001,7.22201832709038
0.5750000000000002,7.274041362285191
0.5800000000000001,7.308986128350385
0.5850000000000002,7.34287992400761
0.5900000000000001,7.390436334968517
0.595,7.4379927459294235
0.6000000000000001,7.485549156890335
0.605,7.532974196550245
0.6100000000000001,7.567524848712454
0.615,7.6068048677105535
0.6200000000000001,7.643720203290706
0.625,7.683919821395783
0.6300000000000001,7.718339102256995
0.635,7.754466210031164
0.6400000000000001,7.791381545611318
0.645,7.82829688119147
0.6500000000000001,7.856016225701834
0.655,7.902127552351778
0.6600000000000001,7.925905757832234
0.665,7.9724111983851635
0.6700000000000002,7.993693349146678
0.675,8.03665176457269
0.6800000000000002,8.062531910869097
0.685,8.110088321830005
0.6900000000000002,8.134260641213451
0.6950000000000001,8.171175976793604
0.7000000000000002,8.20020903431394
0.7050000000000001,8.231869517854213
0.7100000000000002,8.268784853434365
0.7150000000000001,8.292563058914821
0.72,8.329478394494972
0.7250000000000001,8.35916830852029
0.73,8.380450459281803
0.7350000000000001,8.413950141036034
0.74,8.437728346516488
0.7450000000000001,8.461506551996942
0.75,8.491853322527245
0.7550000000000001,8.52220009305755
0.76,8.545978298538005
0.7650000000000001,8.56975650401846
0.77,8.593534709498915
0.7750000000000001,8.611401206434506
0.78,8.632683357196015
0.7850000000000001,8.66263601382333
0.79,8.675510401321032
0.7950000000000002,8.688910274022726
0.8,8.709929682182244
0.8049999999999999,8.733707887662698
0.8100000000000003,8.744348963043455
0.8150000000000002,8.767733054620917
0.8200000000000001,8.767733054620917
0.825,8.794007314820314
0.8300000000000003,8.794007314820314
0.8350000000000002,8.801101365074151
0.8400000000000001,8.820281575019711
0.845,8.820281575019711
0.8499999999999999,8.83341870511941
0.8550000000000002,8.840118641470257
0.8600000000000001,8.846555835219108
0.865,8.846555835219108
0.8699999999999999,8.846555835219108
0.8750000000000002,8.869545812893582
0.8800000000000001,8.872830095418506
0.885,8.867969357281616
0.8899999999999999,8.846555835219108
0.8950000000000002,8.846555835219108
0.9000000000000001,8.846555835219108
0.905,8.846555835219108
0.9099999999999999,8.827901110477537
0.9150000000000003,8.820281575019711
0.9200000000000002,8.806618959716026
0.925,8.794007314820314
0.9299999999999999,8.785336808954515
0.9350000000000003,8.76155860347406
0.9400000000000002,8.747239131665387
0.9450000000000001,8.725956980903876
0.95,8.690223987032697
0.9550000000000003,8.666445781552241
0.9600000000000002,8.642667576071787
0.9650000000000001,8.618889370591333
0.97,8.608248295210577
0.9750000000000003,8.596950363324837
0.9800000000000002,8.596950363324837
0.9850000000000001,8.625063821738193
0.99,8.6594831025994
0.9949999999999999,8.720176643660006
1.0000000000000002,8.794007314820318
1.0050000000000001,8.899761212122884
1.01,9.010507218863346
1.015,9.105620040785158
1.0200000000000002,9.213869992806682
1.0250000000000001,9.322119944828199
1.03,9.439828630521498
1.035,9.582497863404216
1.0400000000000003,9.718335788635114
1.0450000000000002,9.864026561440763
1.05,9.984231301853004
1.055,10.12690053473573
1.0600000000000003,10.2506523002749
1.0650000000000002,10.392139191448647
1.07,10.52416734895062
1.075,10.629921246253186
1.0800000000000003,10.761423918551179
1.0850000000000002,10.880840431157438
1.09,10.99973145855971
1.095,11.113499005223094
1.1000000000000003,11.224376383264563
1.1050000000000002,11.356273169465528
1.11,11.462158438069098
1.115,11.56791233537167
1.1199999999999999,11.68102302553007
1.1250000000000002,11.78598869502667
1.1300000000000001,11.898311157379098
1.135,12.005772881594623
1.14,12.109818951984236
1.1450000000000002,12.209135655537963
1.1500000000000001,12.308189616489686
1.155,12.412498429481294
1.16,12.507611251403105
1.1650000000000003,12.61586120342463
1.1700000000000002,12.71097402534645
1.175,12.806086847268263
1.18,12.90119966919008
1.1850000000000003,12.996312491111906
1.1900000000000002,13.091425313033715
1.195,13.186538134955535
1.2,13.260631548717837
